Address,Award,City,Country,Cuisine,Location,Name,Phone Number,Price,Url,Latitude,Longitude,Price_NumRating
"17F, Palais de Chine Hotel, 3, Section 1, Chengde Road, Datong District, Taipei, 103, Taiwan",3 Stars MICHELIN,Taipei,Taiwan,Cantonese,"Taipei, Taiwan",Le Palais,886221819985,$$$$,https://guide.michelin.com/en/taipei-region/taipei/restaurant/le-palais,25.049071,121.51696,4
"6F, 299 Lequn 3rd Road, Zhongshan District, Taipei, 104, Taiwan",3 Stars MICHELIN,Taipei,Taiwan,Taiwanese contemporary,"Taipei, Taiwan",Taïrroir,886285015500,$$$$,https://guide.michelin.com/en/taipei-region/taipei/restaurant/tairroir,25.082896,121.559303,4
"2F, 689, Section 4, Yifeng Road, Nantun District, Taichung, 408, Taiwan",3 Stars MICHELIN,Taichung,Taiwan,"Singaporean, Contemporary","Taichung, Taiwan",JL Studio,886423803570,$$$$,https://guide.michelin.com/en/taichung-region/taichung/restaurant/jl-studio,24.1504863,120.6285199,4
"3127 Fillmore St., San Francisco, 94123, USA",3 Stars MICHELIN,San Francisco,USA,"Contemporary, French","San Francisco, USA",Atelier Crenn,14154400460,$$$$,https://guide.michelin.com/en/california/san-francisco/restaurant/atelier-crenn,37.79835,-122.43586,4
"5200 Grand Del Mar Way, San Diego, 92130, USA",3 Stars MICHELIN,San Diego,USA,"Contemporary, Californian","San Diego, USA",Addison,18583141900,$$$$,https://guide.michelin.com/en/california/us-san-diego/restaurant/addison,32.9412972,-117.1988908,4
"470 Pacific Ave., San Francisco, 94133, USA",3 Stars MICHELIN,San Francisco,USA,"Contemporary, Californian","San Francisco, USA",Quince,14157758500,$$$$,https://guide.michelin.com/en/california/san-francisco/restaurant/quince,37.7975054,-122.4032607,4
"131 North St., Healdsburg, 95448, USA",3 Stars MICHELIN,Healdsburg,USA,"Contemporary, Californian","Healdsburg, USA",SingleThread,17077234646,$$$$,https://guide.michelin.com/en/california/healdsburg/restaurant/singlethread,38.6122599,-122.8697229,4
"22 Hawthorne St., San Francisco, 94105, USA",3 Stars MICHELIN,San Francisco,USA,"Asian, Contemporary","San Francisco, USA",Benu,14156854860,$$$$,https://guide.michelin.com/en/california/san-francisco/restaurant/benu,37.7853763,-122.3990601,4
"6640 Washington St., Yountville, 94599, USA",3 Stars MICHELIN,Yountville,USA,"Contemporary, French","Yountville, USA",The French Laundry,17079442380,$$$$,https://guide.michelin.com/en/california/yountville/restaurant/the-french-laundry,38.40443,-122.36474,4
"41 Bukit Pasoh Road, 089855, Singapore",3 Stars MICHELIN,Singapore,N/A,European Contemporary,Singapore,Zén,6592366368,$$$$,https://guide.michelin.com/en/singapore-region/singapore/restaurant/zen,1.2796271,103.84042,4
"Shaw Centre, #01-16, 1 Scotts Road, 228208, Singapore",3 Stars MICHELIN,Singapore,N/A,French,Singapore,Les Amis,6567332225,$$$$,https://guide.michelin.com/en/singapore-region/singapore/restaurant/les-amis,1.30626,103.83204,4
"National Gallery, #01-04, 1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore",3 Stars MICHELIN,Singapore,N/A,French Contemporary,Singapore,Odette,6563850498,$$$$,https://guide.michelin.com/en/singapore-region/singapore/restaurant/odette,1.2896459,103.8516,4
"Refshalevej 96, Copenhagen, 1432 K, Denmark",3 Stars MICHELIN,Copenhagen,Denmark,Creative,"Copenhagen, Denmark",noma,4532963297,€€€€,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/noma,55.6833118,12.6106175,4
"Dronning Eufemias gate 23, Oslo, 0194, Norway",3 Stars MICHELIN,Oslo,Norway,"Modern Cuisine, Creative","Oslo, Norway",Maaemo,4722179969,€€€€,https://guide.michelin.com/en/oslo-region/oslo/restaurant/maaemo-1194933,59.9075293,10.7586363,4
"Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden",3 Stars MICHELIN,Stockholm,Sweden,Modern Cuisine,"Stockholm, Sweden",Frantzén,468208580,€€€€,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/frantzen,59.3341673,18.0597575,4
"Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark",3 Stars MICHELIN,Copenhagen,Denmark,"Creative, Contemporary","Copenhagen, Denmark",Geranium,4569960020,€€€€,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/geranium,55.7040847,12.5725289,4
