Cuisine_Fixed,Count_overall,Count_1star,Count_2star,Count_3star
Creative,50,30,17,3
Classic cuisine,15,14,1,0
Market cuisine,1,1,0,0
Modern cuisine,108,97,9,2
Japanese,54,44,8,2
Vegetarian,2,2,0,0
Contemporary,75,47,18,10
Indian,12,11,1,0
Korean,13,9,2,2
Californian,14,13,1,0
American,10,9,0,1
International,1,1,0,0
Moroccan,1,1,0,0
Thai,13,13,0,0
Chinese,15,12,2,1
Fusion,4,4,0,0
Italian,21,19,1,1
French,29,19,7,3
Asian,2,1,0,1
Steakhouse,6,6,0,0
Mexican,6,5,1,0
Gastropub,2,2,0,0
Danish,1,1,0,0
Classic french,3,2,0,1
Finnish,1,1,0,0
Mediterranean,4,4,0,0
Seafood,12,8,3,1
Cantonese,40,31,5,4
Dim sum,1,1,0,0
Teppanyaki,1,1,0,0
Sushi,17,12,4,1
Shanghainese,3,3,0,0
Noodles and congee,1,1,0,0
Innovative,28,21,6,1
Cantonese roast meats,2,2,0,0
Taizhou,1,1,0,0
Sichuan,1,1,0,0
European contemporary,7,6,1,0
Scandinavian,5,3,2,0
Austrian,1,1,0,0
Spanish,4,4,0,0
Modern british,38,34,4,0
Modern,4,4,0,0
Asian influences,2,2,0,0
French contemporary,19,10,7,2
Korean contemporary,3,1,2,0
Temple cuisine,1,1,0,0
Street food,3,3,0,0
Fujian,1,1,0,0
Australian,2,2,0,0
Italian contemporary,1,1,0,0
Barbecue,2,2,0,0
Peranakan,1,1,0,0
Meats and grills,1,1,0,0
Taiwanese,3,3,0,0
Hang zhou,1,1,0,0
Asian contemporary,1,1,0,0
Thai contemporary,2,2,0,0
Southern thai,1,1,0,0
European,1,1,0,0
Creative british,3,3,0,0
Traditional british,6,5,1,0
Regional cuisine,1,1,0,0
Mediterranean cuisine,1,1,0,0
Creative french,3,2,1,0
Modern french,3,1,2,0
Hunanese and sichuan,1,0,1,0
Japanese contemporary,2,0,2,0
Sichuan-huai yang,1,0,1,0
