City,Cuisine,Cuisine_Fixed,Name,Price,Region,Url,Year,Zip Code,Latitude,Longitude,Rating
Kleinwalsertal,Creative,Creative,Kilian Stuba,5,Austria,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,2019,87568,47.34858,10.17114,1
Hallwang,Classic cuisine,Classic cuisine,Pfefferschiff,5,Austria,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,2019,5300,47.83787,13.07917,1
Salzburg,Creative,Creative,Esszimmer,5,Austria,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,2019,5020,47.80685,13.03409,1
Salzburg,Market cuisine,Market cuisine,Carpe Diem,5,Austria,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,2019,5020,47.80001,13.04006,1
Wien,Modern cuisine,Modern cuisine,Edvard,4,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,2019,1010,48.216503,16.36852,1
Wien,Modern cuisine,Modern cuisine,Das Loft,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,2019,1020,48.21272,16.37931,1
Wien,Creative,Creative,Pramerl & the Wolf,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,2019,1090,48.20945,16.37174,1
Wien,Classic cuisine,Classic cuisine,Walter Bauer,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,2019,1010,48.20923,16.37672,1
Wien,Japanese,Japanese,SHIKI,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,2019,1010,48.204067,16.37098,1
Wien,Vegetarian,Vegetarian,Tian,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,2019,1010,48.20513,16.37456,1
Wien,Modern cuisine,Modern cuisine,aend,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,2019,1010,48.18957,16.34115,1
Wien,Classic cuisine,Classic cuisine,Le Ciel by Toni Mörwald,5,Austria,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,2019,1010,48.20209,16.37156,1
South San Francisco,Contemporary,Contemporary,Chez TJ,4,California,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,2019,94041,37.39468,-122.08044,1
